word,score_1,score_2,score_3
position,7,,
gefgig,7,,
kommandieren,7,,
vorherrschaft,7,,
kontrolle,7,,
unterwerf,7,,
untertanenpflicht,7,,
bedienen,7,,
aussstehen,7,,
achtung,7,,
fgen,7,,
ehrfrchtig,7,,
verehr,7,,
einhalten,7,,
,,,
trotz,8,,
rebell,8,,
meinungsverschieden,8,,
subver,8,,
respektlos,8,,
ungehorsam,8,,
verhetz,8,,
agitat,8,,
ungehorsam,8,,
illegal,8,,
gesetzlos,8,,
aufstndisch,8,,
meuterisch,8,,
widersetz,8,,
andersdenkend,8,,
untreu,8,,
entfremden,8,,
berlufer,8,,
hre,8,10,
nonkonformist,8,,
entgegensetzen,8,,
protest,8,,
weigern,8,,
anprangern,8,,
remonstrieren,8,,
aufruhr,8,,
behindern,8,,
,,,
piett,9,12,
fromm,9,12,
reinheit,9,,
rein,9,,
sauber,9,,
steril,9,,
geheiligt,9,,
keusch,9,,
heilig,9,,
heiligkeit,9,,
heilige,9,,
erbaulich,9,12,
zlibat,9,,
enthaltung,9,,
jungfrau,9,,
jungfrauen,9,,
jungfrulichkeit,9,,
jungfrulich,9,,
spar,9,,
integritt,9,12,
bescheidenheit,9,,
abstinen,9,,
enthaltsamkeit,9,,
aufrecht,9,12,
durchsichtig,9,,
unverflscht,9,,
jungfern,9,,
tugendhaft,9,,
raffiniert,9,,
anstndig,9,12,
unbefleckt,9,,
unschuldig,9,,
ursprnglich,9,,
kirch,9,,
,,,
ekel,10,,
verderb,10,,
krankheit,10,,
unrein,10,,
ansteck,10,,
unanstnd,10,12,
snde,10,,
sndhaft,10,,
snder,10,,
snden,10,,
gesndigt,10,,
sndigend,10,,
schlamp,10,,
hure,10,,
schmutz,10,,
piettlosigkeit,10,,
piettlos,10,,
profan,10,,
grob,10,,
abstoß,10,,
krank,10,,
promiskuit,10,,
anzglich,10,,
ehebr,10,,
verfhr,10,,
schnd,10,,
vagabund,10,,
prostituier,10,,
unkeusch,10,,
maßlos,10,,
mutwillig,10,,
lasterhaft,10,,
dreck,10,,
trashig,10,,
obszn,10,,
lasch,10,,
makel,10,,
fleck,10,,
beschmutz,10,,
erniedrig,10,,
schnde,10,,
boshaft,10,12,
verunstalten,10,,
ausbeut,10,11,
perverser,10,,
jmmerlich,10,12,
,,,
,,,
rechtschaffen,11,,
moral,11,,
ethik,11,,
nutzen,11,,
aufrichtig,11,,
gut,11,,
tugend,11,,
prinzip,11,,
untadelig,11,,
vorbildlich,11,,
lektion,11,,
grundprinzip,11,,
doktrin,11,,
nobel,11,,
wert,11,,
ideal,11,,
lobenswert,11,,
lblich,11,,
charakter,11,,
echt,11,,
lblich,11,,
korrekt,11,,
falsch,11,,
bel,11,,
unmoralisch,11,,
schlecht,11,,
verstoß,11,,
anstßig,11,,
bertret,11,,
rechtschaffen*,12,,
moral*,12,,
ethik*,12,,
nutzen*,12,,
aufrichtig,12,,
gut,12,,
tugend,12,,
prinzip*,12,,
untadelig,12,,
vorbildlich,12,,
lektion,12,,
grundprinzip,12,,
doktrin,12,,
nobel,12,,
wert*,12,,
ideal*,12,,
lobenswert,12,,
lblich,12,,
charakter,12,,
echt,12,,
lblich,12,,
korrekt,12,,
falsch*,12,,
bel,12,,
unmoralisch*,12,,
schlecht,12,,
verstoß*,12,,
anstßig*,12,,
bertret*,12,,
